,class,text
40,notsarc,"['instead', 'place', 'faith', 'mythology', 'nomadic', 'herdsmen', 'much', 'logical', 'believe', 'in', 'knowing', 'unknowable', 'magic', 'poofed', 'everything', 'existance', 'and', 'created', 'all', 'of', 'the', 'evidence', 'to', 'make', 'it', 'appear', 'didnt']"
41,notsarc,"['gun', 'nuts', 'say', 'f', 'children', 'decide', 'saving', 'guns', 'and', 'childrens', 'lives']"
42,notsarc,"['well', 'whatever', 'case', 'may', 'baby', 'full', 'function', 'nervous', 'system', 'feel', 'the', 'pain', 'whenever', 'aborted', 'that', 'disturb', 'people', 'always', 'tend', 'think', '``', 'oh', 'the', 'mother', 'is', 'going', 'to', 'go', 'pain', ""''"", 'bla', 'bla', 'bla', 'the', 'baby', 'that', 'is', 'tortured', 'to', 'death', 'cmon']"
43,notsarc,"['fact', 'remains', 'britain', 'still', 'four', 'times', 'dangerous', 'as', 'america', 'terms', 'in', 'crime', 'rates', 'arguing', 'that', 'crime', 'level', 'is', 'acceptable', 'that', 'youre', 'alright', 'so', 'many', 'people', 'helpless', 'victim', 'unable', 'anything']"
44,notsarc,"['nonsense', 'name', 'holes', 'parts', 'conjecture', 'the', 'parts', 'are', 'conjecture', 'are', 'never', 'ever', 'taught', 'high', 'school', 'biology', 'class', 'isnt', 'time', 'major', 'points', 'are', 'covered', 'there', 'doubt']"
45,notsarc,"['everyone', 'know', 'marc', 'right', 'along', '--', 'atheist', 'science', 'conspiracy']"
46,notsarc,"['well', 'ive', 'personally', 'measured', 'gravitational', 'pull', 'ball', 'of', 'lead', '5cm', 'diameter', 'suggesting', 'angels', 'push', 'the', 'planets', 'around', 'that', 'the', 'leading', 'theory', 'newton']"
47,notsarc,"['99', 'creationists', 'informed', 'far', 'as', 'tell', 'seems', 'position', 'that', '``', 'informed', ""''"", 'creationists', 'are', 'neo-darwinists', 'fully', 'accepting', 'of', 'theories', 'of', 'evolution']"
48,notsarc,"['oh', 'business', 'owners', 'dont', 'make', '``', 'real', ""''"", 'contributions', 'society']"
49,notsarc,"['truly', 'amazing', 'even', 'someone', 'like', 'kh', 'disprove', 'evolution', 'quickly']"
50,notsarc,"['still', 'choose', 'believe', 'someone', 'whos', 'victim', 'crime', 'punished', 'committed', 'crime']"
51,notsarc,"['many', 'natural', 'disasters', 'tornados', 'destructive', 'flood', 'severe', 'drought', 'probably', 'something', 'global', 'warmingi', 'dont', 'know', 'first', 'regarding', 'combinations', 'maybe', 'flood', 'is', 'caused', 'due', 'to', 'global', 'warming', 'maybe', 'reversethese', 'phenomena', 'related', 'cant', 'seperated', 'think', 'itmaybe', 'global', 'warming', 'is', 'such', 'big', 'threat', 'many', 'disadvantages', 'resulting', 'are', 'threats', 'to', 'us']"
52,notsarc,"['biologically', 'speaking', 'fetus', 'human', ';', 'the', 'mother', 'person', 'is', 'simply', 'sustaining', 'via', 'blood', '--', 'like', 'via', 'mothers', 'milk', 'birth', 'legally', 'starve', 'the', 'newborn', 'child', 'suitable', 'nourishment', 'is', 'available', 'simply', 'she', 'the', '``', 'right', 'body', ""''"", 'think', 'no', 'law']"
53,notsarc,"['yet', 'present', 'opinions', 'without', 'supporting', 'facts']"
54,notsarc,"['im', 'sure', 'racist', 'white', 'segregationists', 'plessey', 'thought', 'exactly', '``', 'settles', 'the', 'matter', ""''"", 'little', 'louise', 'brown', 'big', 'surprise', 'themyou', 'still', 'walked', 'upon', 'the', 'thin', 'ice', 'the', '``', 'well', 'regulated', ""''"", 'wording', 'note']"
55,notsarc,"['oh', 'dont', 'kid', 'people', 'miserable', 'long', 'got', 'darwinists', 'arrogance', 'astounding']"
56,notsarc,"['exactly', 'people', 'would', 'incorporate', 'childhood', 'most', 'often', 'steeeeve', 'cant', 'seem', 'wrap', 'mind', 'around']"
57,notsarc,"['actually', 'everything', 'bible', 'says', 'belies', '``', 'atheist', 'answer', ""''"", 'the', 'reality', 'the', 'world', 'gods', 'creation', 'speaks', 'existence', 'self', 'evident', 'takes', 'degree', 'of', 'faith', 'to', 'accept', 'jesus', 'as', 'personal', 'savior', 'as', 'far', 'as', 'accepting', 'the', 'reality', 'of', 'god', 'all', 'one', 'need', 'is', 'look', 'observe', 'the', 'world', 'live', 'to', 'see', 'that', 'incredible', 'and', 'loving', 'god', 'could', 'create', 'a', 'beautiful', 'and', 'marvelous', 'world', 'many', 'amazing', 'symbiotic', 'and', 'perfectly', 'interdependent', 'forms', 'of', 'life']"
58,notsarc,"['actually', '``', 'dont', 'know', ""''"", 'quite', 'valid', 'answer', 'sciencehowever', 'slip', 'false', 'construct', 'a', 'belief', 'that', 'known', 'is', 'in', 'scope', 'of', 'science', ';', 'youve', 'also', 'denied', 'saying', 'you', 'believe', 'in', 'the', 'past', '[', 'quotemontalban', ']', 'is', 'this', 'a', 'rational', 'statement', 'prove', 'rationally', 'science']"
59,notsarc,"['well', 'lets', 'honest', 'people', 'fear', 'gay', 'marriage', 'might', 'come', 'via', 'judicial', 'fiat', 'thats', 'current', 'whipping', 'horse', 'thats', 'it', 'happened', 'first', 'broad', 'values', 'judicial', 'fiat', 'of', 'course', 'recent', 'post', 'here', 'about', 'rights', 'granted', 'gays', 'state', 'legislature', 'oregon', 'think', 'a', 'group', 'jumped', 'and', 'forced', 'the', 'law', 'hold', 'via', 'a', 'petition', 'drive', 'it', 'really', 'isnt', 'the', 'means', 'by', 'gays', 'get', 'equality', 'that', 'upsets', 'some', 'folks', 'the', 'equality', '``', 'judicial', 'fiat', ""''"", 'just', 'a', 'phrase', 'people', 'use', 'so', 'can', 'avoid', 'stating', 'their', 'true', 'motives', 'preventing', 'gays', 'treated', 'equals']"
60,notsarc,"['yes', 'determining', 'age', 'question', 'answered', 'evolution']"
61,notsarc,"['trying', 'sayscience', 'knowledge', 'knowledge', 'is', 'anything', 'find', 'to', 'true', 'is', '``', 'truth', ""''"", 'there', 'there', 'wed', 'be', 'omniscient']"
62,notsarc,"['now', 'zsu', 'learned', 'comrade', 'star', 'gazer', 'gw', 'created', 'continental', 'army', 'sure', 'gentlemen', 'equally', 'illogical', 'inaccurate', 'facts', 'scatter', 'around', 'the', 'barnyard', 'emoticonxhoho']"
63,notsarc,"['yes', 'founding', 'fathers', 'realized', 'government', 'serve', 'the', 'people', 'governed', 'set', 'rules', 'limited', 'the', 'government', 'it', 'would', 'run', 'wild', 'england', 'made', 'the', 'bill', 'of', 'rights', 'constitution', 'that', 'it', 'would', 'limit', 'the', 'government', 'to', 'keep', 'it', 'becoming', 'powerful', 'and', 'overstepping', 'bounds', 'and', 'the', 'way', 'the', 'constitution', 'could', 'actually', 'enforced', 'was', 'the', 'population', 'to', 'uphold', 'itback', 'the', 'time', 'of', 'its', 'writing', 'they', 'probably', 'saw', 'the', 'best', 'way', 'for', 'a', 'population', 'to', 'force', 'a', 'government', 'to', 'step', 'its', 'bounds', 'was', 'to', 'force', 'it', 'er', 'forcetoday', 'in', 'the', 'information', 'age', 'a', 'much', 'better', 'weapon', 'right', 'to', 'vote', 'sweeping', 'changes', 'be', 'implemented', 'with', 'out', 'the', 'use', 'of', 'force', 'using', 'the', 'system']"
64,notsarc,"['several', 'scientific', 'explanations', 'nature', 'the', 'earth', 'use', 'science', 'say', 'the', 'world', 'flat', 'granted', 'that', 'beliefs', 'arent', 'widely', 'accepted', 'religions', 'are', 'widely', 'accepted', 'reasoning', 'logic', 'must', 'ask', 'whether', 'you', 'rely', 'science', 'there', 'are', 'many', 'different', 'scientific', 'theoriesthe', 'flat', 'earth', 'news', 'least', 'back', 'then', 'regular', 'column', '``', 'one', 'hundred', 'proofs', 'earth', 'is', 'not', 'a', 'globe', ""''"", 'go', 'to', 'http', ':', 'wwwflat-earthorgother', 'theories', 'taught', 'sciencephrenologyalchemyevolutioneugenicsneptunismtheories', 'of', 'the', 'aether', 'articles', 'relating', 'to', 'the', 'emergence', 'of', 'scientific', 'theories', 'of', 'the', 'cosmic', 'aetherhttp', ':', 'wwwmountainmancomauaetherhtmlwhat', 'about', 'metasciencehttp', ':', 'wwwcalrescoorglucassciencehtmor', 'sciences', 'used', 'to', 'support', 'political', 'endswhat', 'about', 'marxist', 'sciencehttp', ':', 'wwwmarxistsorgarchivehaldphilosophyhtmor', 'chaos', 'theory', 'marxismhttp', ':', 'wwwmarxistcomsciencechaostheoryhtmltheres', 'nazi', 'sciencehttp', ':', 'wwwwebstereduwoolflmnazisciencehtmlnationalist', 'sciencehttp', ':', 'wwwljudmilaorgnettimezkp408htmor', 'social', 'endsscientific', 'racismhttp', ':', 'wwwpressuillinoiseduf02tuckerhtmlmainstream', 'scientists', 'instead', 'of', 'using', 'the', 'word', 'heretic', 'use', 'the', 'word', 'pseudo-science', 'to', 'categorise', 'fringe', 'beliefs']"
65,notsarc,"['none', 'fishersci', 'links', 'would', 'take', 'get', 'look', 'the', 'fibre', 'optic', 'systems', 'try', 'later']"
66,notsarc,"['actually', 'reported', 'real', 'results', 'study', 'regular', 'church', 'attendees', 'twice', 'likely', 'vote', 'republicanetc', 'the', 'conclusion', 'however', 'meant', 'to', 'a', 'joke', 'got', 'didnt', 'emoticonxrolleyes']"
67,notsarc,"['mean', 'must', 'beginning', 'dont', 'you']"
68,notsarc,"['im', 'sorry', 'entire', 'rant', 'nothing', 'but', 'ignorance', 'based', 'fear', 'mongering', 'your', 'article', ':']"
69,notsarc,"['actually', 'im', 'sure', 'manhood', 'even', 'though', 'knew', 'that', 'charge', 'would', 'levelled', 'i', 'still', 'posted', 'anyway', 'anyway', 'feel', 'that', 'men', 'need', 'be', 'degraded', 'to', 'make', 'past', 'actions', 'to', 'women', 'you', 'gone', '``', 'righteous', ""''"", 'to', 'bitter']"
70,notsarc,"['know', 'evolution', 'happens', 'would', 'problem', 'would', 'be', 'find', 'processes', 'that', 'made', 'evolution', 'happen', 'incredible', 'rates', 'isnt', 'evidence', 'that', 'happen', 'that', 'fast']"
71,notsarc,"['really', 'different', 'is', 'number', 'steps', 'is', 'definition', 'of', 'macro-evoution', 'is', 'speciation', 'is', 'it', 'brand', 'new', 'genus', 'observed', 'speciation', 'new', 'species', 'happened']"
72,notsarc,"['logical', 'truths', 'come', '``', 'somewhere', ""''"", 'question', 'makes', 'much', 'sense', 'as', '``', 'time', 'moose', ""''"", 'do', 'not', 'appear', 'read', 'post', 'variously', 'repeating', 'what', 'have', 'said', 'addressing', 'things', 'i', 'not', 'say']"
73,notsarc,"['really', 'consider', 'gun', 'laws', 'the', 'uk', 'changed', 'prevent', 'incidents', 'like', 'cumbria', 'ever', 'happening']"
74,notsarc,"['youre', 'saying', 'believe', 'absolutely', 'everything', 'church', 'believes', 'you', 'support', 'everything', 'and', 'moment', 'it', 'anything', 'oustide', 'youd', 'leave', 'right']"
75,notsarc,"['perhaps', 'analogy', 'lets', 'say', 'sake', 'the', 'argument', 'smoke', 'drink', 'personally', 'for', 'whatever', 'reason', 'however', 'you', 'believe', 'others', 'the', 'right', 'drink', 'smoke', 'choose', 'so', 'you', 'personally', 'against', 'drinking', 'and', 'smoking', 'you', 'are', '``', 'pro-choice', ""''"", 'regard', 'meaning', 'you', 'believe', 'every', 'person', 'should', 'make', 'that', 'determination', 'for', 'themselvespro-life', 'would', ':', 'you', 'dont', 'drink', 'and', 'smoke', 'morally', 'against', 'it', 'perhaps', 'and', 'you', 'are', 'going', 'to', 'make', 'sure', 'that', 'one', 'else', 'able', 'to', 'either']"
76,notsarc,"['quite', 'frankly', 'dont', 'know', 'squat', 'stop', 'trying', 'pretend', 'you', 'doi', 'gone', 'record', 'to', 'say', 'think', 'christianity', 'lot', 'good', 'worldi', 'have', 'even', 'tried', 'to', 'correct', 'matthew', 'in', 'anti-christian', 'tirades', 'i', 'gave', 'realizing', 'would', 'good', 'emoticonxfrazzled', 'i', 'hate', 'to', 'break', 'it', 'to', 'you', 'the', 'world', 'typically', 'functions', 'people', 'putting', 'negative', 'newsyou', 'hear', 'about', 'joe', 'xxxx', 'broke', 'the', 'lawdo', 'you', 'ever', 'hear', 'about', 'how', 'johnny', 'atlas', 'keeps', 'the', 'lawemoticonxfrazzled']"
77,notsarc,"['think', 'humans', 'pinnacle', 'processing', 'power', 'reason', 'brain', 'the', 'entire', 'universe', 'aside', 'god']"
78,notsarc,"['thats', 'true', '--', 'actually', 'doesnt', 'make', 'sense', 'science', 'bunch', 'rules', 'definition', '``', 'biology', 'uses', 'science', 'study', 'life', ""''"", 'is', 'true', '``', 'physics', 'uses', 'science', 'to', 'study', 'physical', 'world', ""''"", 'is', 'true', '``', 'sciences', 'purpose', 'is', 'to', 'study', 'life', ""''"", 'is', 'not', 'true']"
79,notsarc,"['genesis', 'history', 'lesson', 'is', 'a', 'combination', 'stories', 'a', 'religious', 'message', 'allegory', 'format', 'bothered', 'learn', 'understand', 'of', 'hebrew', 'puns', 'behind', 'many', 'of', 'the', 'words', 'and', 'also', 'see', 'the', 'political', 'commentary', 'of', 'events', 'happening', 'the', 'time', 'it', 'written', 'that', 'would', 'obvious']"
80,notsarc,"['actually', 'proven', 'whether', 'leprechauns', 'unicorns', 'flying', 'spaghetti', 'monster', 'magical', 'space', 'monkeys', 'livining', 'care', 'baers', 'and', 'even', 'god', 'exists', 'notthe', 'question', 'proving', 'belief', 'seems', 'kinda', 'self-contradictory', 'something', 'a', 'fact', 'can', 'be', 'proven', 'belief', 'it', 'is', 'irrelevant', 'likewise', 'if', 'believe', 'something', 'whether', 'facts', 'to', 'support', 'it', 'or', 'still', 'your', 'belief', 'there', 'are', 'people', 'believe', 'things', 'inn', 'the', 'absence', 'of', 'supporting', 'facts', 'and', 'sometimes', 'even', 'the', 'face', 'of', 'opposing', 'facts', 'the', 'term', 'that', 'is', 'faithfaith', 'is', 'the', 'belief', 'of', 'something', 'in', 'the', 'absence', 'of', 'evidence', 'if', 'you', 'faith', 'in', 'something', 'proof', 'is', 'irrelevant', 'or', 'least', 'it', 'be']"
81,notsarc,"['im', 'sure', 'saying', 'are', 'you', 'saying', 'you', 'think', 'that', 'theropod', 'dinosaurs', 'feathers', 'sinornithosaurus', 'first', 'you', 'claim', 'that', 'entire', 'forelimb', 'would', 'have', 'useless', 'shown', 'that', 'not', 'you', 'claim', 'that', 'the', 'feathers', 'could', 'not', 'have', 'existed', 'would', 'useless', 'and', 'when', 'shown', 'fossil', 'that', 'shows', 'feathers', 'you', 'are', 'surprised', 'that', 'are', 'not', 'morei', 'suspect', 'that', 'not', 'the', 'feathers', 'this', 'creature', 'are', 'apparent', 'the', 'fossilhttp', ':', 'researchamnhorgvertpaleofeather5jpg', 'http', ':', 'researchamnhorgvertpaleofeather9ajpg', 'http', ':', 'researchamnhorgvertpaleofeather11jpg', 'there', 'are', 'enough', 'show', 'that', 'feathered', 'dinosaurs', 'in', 'fact', 'exist', 'argument', 'whether', 'not', 'is', 'possible', 'that', 'creatures', 'existed', 'is', 'moot', 'it', 'is', 'irrelevant', 'that', 'you', 'feel', 'that', 'such', 'limbs', 'would', 'have', 'been', 'useless', 'obviously', 'they', 'notso', 'now', 'return', 'to', 'original', 'confused', 'and', 'erroneous', 'arguments']"
82,notsarc,"['declaration', 'independence', 'the', 'constitutioni', 'go', 'one', 'better', 'admendment', '9', '10', 'talk', 'certain', 'rights', 'retained', 'the', 'peopleamendment', 'ixthe', 'enumeration', 'the', 'constitution', 'of', 'certain', 'rights', 'shall', 'not', 'construed', 'deny', 'disparage', 'others', 'retained', 'by', 'the', 'people', 'amendment', 'xthe', 'powers', 'not', 'delegated', 'to', 'the', 'united', 'states', 'by', 'the', 'constitution', 'prohibited', 'by', 'to', 'the', 'states', 'reserved', 'to', 'the', 'states', 'respectively', 'or', 'to', 'the', 'peoplethe', 'conservatives', 'would', 'argue', 'that', 'by', 'offering', 'sex', 'marriage', 'that', 'persute', 'of', 'happiness', 'is', 'denied', 'by', 'gay', 'people', 'even', 'existing', 'and', 'that', 'to', 'look', 'us']"
83,notsarc,"['right', 'certainly', 'explains', 'many', 'many', 'versions', 'christianity']"
84,notsarc,"['claim', 'belief', 'the', 'biblical', 'god', '-', 'god', '-', 'right', 'wrong', 'known', 'completely', 'stupid', '1', 'ever', 'hear', 'humanism', '2', 'even', 'chimps', 'a', 'sense', 'of', 'treated', 'rightly', 'or', 'wrongly', 'and', 'even', 'chimps', 'have', 'seen', 'others', 'would', 'want', 'done', 'for', 'themedit', ':', 'excuse', 'double', 'checked', 'and', 'i', 'wrong', 'thats', 'bad', 'news', 'for', 'the', 'creationisteven', 'capuchin', 'monkeys', '-', 'related', 'to', 'humans', 'as', 'are', 'chimps', '-', 'have', 'a', 'sense', 'of', 'whether', 'they', 'are', 'being', 'treated', 'fairly', 'or', 'nothttp', ':', 'wwwsciencedailycomreleases0918092951htmchimps', 'take', 'one', 'step', 'farther', 'adding', 'the', 'mix', 'closely', 'social', 'bonds', 'are', 'to', 'the', 'participant', 'chimps', 'have', 'a', 'complex', 'sense', 'of', 'fairness', 'do', 'capuchin', 'monkeyshttp', ':', 'wwwwhscemoryedupressrelentidseq2819']"
85,notsarc,"['leaving', 'aside', 'moment', 'false', 'construct', 'youre', 'arguing', 'read', 'upthe', 'pseudo-problem', 'creation', 'physical', 'cosmology', 'adolf', 'grnbaumhttp', ':', 'wwwinfidelsorglibrarymodemproblemhtml', ""''"", 'bondi', 'sees', 'the', 'steady-state', 'theory', 'propounded', 'by', 'thomas', 'gold', 'in', '1948', 'brings', '``', 'the', 'problem', 'of', 'creation', 'within', 'the', 'scope', 'of', 'physical', 'inquiry', ""''"", 'ibidalthough', 'theories', 'deemed', 'defunct', 'as', 'the', 'one', 'assumptions', 'such', 'things', 'outside', 'the', 'scope', 'of', 'science', 'flawed']"
86,notsarc,"['really', 'thats', 'fallacy', 'exclusion', 'of', 'the', 'middle', 'two', 'choices', 'one', 'wrong', 'somehow', 'the', 'is', 'therefore', 'correct', 'the', 'problem', 'is', 'there', 'isnt', 'only', 'two', 'choice', 'sure', 'besides', 'science', 'is', 'wrong', 'the', 'time', 'doesnt', 'prove', 'that', 'creation', 'is', 'right', 'fact', 'for', 'instance', 'science', 'estaimtes', 'of', 'moon', 'dust', 'proven', 'wildly', 'wrong', 'corrections', 'actually', 'harm', 'creation']"
87,notsarc,"['doesnt', 'help', 'much', 'calculating', 'length', 'day', 'actual', 'astronomical', 'observations', 'perhaps', 'told', 'freeofthought', 'that', 'the', 'current', 'rate', 'of', 'slowing', 'of', 'the', 'earth', '0005', 'secyearyear', 'doubt', 'that', 'freeofthought', 'misunderstand', 'that', 'number', '-', 'is', 'a', 'rate', 'assume', 'that', 'rate', 'unchanging', 'even', 'though', 'it', 'hasnt', 'beena', 'lot', 'of', 'the', 'creationists', 'misunderstanding', 'comes', 'from', 'remarks', 'like', 'the', 'following']"
88,notsarc,"['way', 'see', 'experiences', 'i', 'let', 'the', 'readers', 'decide']"
89,notsarc,"['interesting', 'thing', 'the', 'quality', 'life', 'ethic', 'pro-choice', 'framework', 'means', 'that', 'cant', 'degrade', 'anyones', 'quality', 'of', 'life', 'without', 'permission', 'far', 'entailing', 'a', 'cull', 'of', 'the', 'elderly', 'the', 'infirm', 'the', 'handicapped', 'the', 'ugly', 'the', 'quality', 'of', 'life', 'ethic', 'entails', 'that', 'we', 'kill', 'person', 'is', 'entitled', 'the', 'quality', 'of', 'life', 'that', 'desire', 'they', 'desire', 'not', 'infringe', 'others', 'quality', 'of', 'life']"
