,class,text
35,notsarc,"I think he doesn't really know what he means, I don't think all heathens follow a particular set of beliefs, though I don't know as many as I do pagans."
36,notsarc,"By all means, burn those books . . . er, I mean, take down those nativity scenes."
37,notsarc,"""Supposedly""? You ran from those threads. You are the one making assertions that you don't back up. You are the one unwilling (i.e. unable) to show that Arctic foxes can adapt to a Phoenix summer. You are the one who keeps ignoring (what I will henceforth refer to as) The Chihuahua Challenge. For somebody claiming to be so clearly right and so obviously vindicated by the evidence, you've done nothing to show it, and you've done everything to run from it."
38,notsarc,"Oh? They're trained to deal with irate exhusbands who are stabbing their wives and dousing them in gasoline, in broad daylight, in the middle of a busy parking lot? They're trained to deal with that specific kind of #### every single day?"
39,notsarc,And a lot of blacks were killed through hangings. Are you against rope vendors?
40,notsarc,And instead place my faith in the mythology of nomadic herdsmen? It is much more logical to believe in some all knowing but unknowable magic being who poofed everything into existance and then created all of the evidence to make it appear as if he didn't.
41,notsarc,and gun nuts say f*** the children when we have to decide between saving guns and childrens lives
42,notsarc,"well, whatever the case may be, that baby has a full function nervous system and can feel the pain whenever it is aborted. Does that not disturb you? People always tend to think ""oh the mother is going to go through pain"" BLA BLA BLA.. BUT WHAT ABOUT THE BABY THAT IS BEING TORTURED TO DEATH? cmon."
43,notsarc,So what? The fact remains that Britain is still four times as dangerous as America in terms in crime rates. Or are you arguing that their crime level is acceptable and that you're alright with so many more people being a helpless victim unable to do anything?
44,notsarc,"Nonsense. Name the holes and what parts are conjecture? The parts that are conjecture are never, ever taught in a high school biology class. There isn't time. Only major points are covered about which there is no doubt."
45,notsarc,Now everyone will know Marc was right all along--that there is an atheist science conspiracy.
46,notsarc,"Well, I've personally measured the gravitational pull of a ball of lead about 5cm in diameter. Are you suggesting that angels push the planets around? That was the leading theory before Newton."
47,notsarc,"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution."
48,notsarc,"Oh, so business owners don't make ""real"" contributions to society?"
49,notsarc,It's truly amazing that even someone like KH can disprove evolution so quickly.
50,notsarc,So you still choose to believe that someone who's a victim of crime should be punished as if they committed the crime themselves?
51,notsarc,"Many natural disasters such as tornados, destructive flood, severe drought probably have something to do with global warming.I don't know which is first regarding these combinations. Maybe flood is caused due to global warming, maybe reverse.These phenomena are related each other, so it can't be seperated when we think about it.Maybe global warming itself is not such a big threat but many disadvantages resulting from this are threats to us."
52,notsarc,"Biologically speaking, the fetus is human; the mother person is simply sustaining it via blood-- just like via mother's milk after birth. Can she legally starve the newborn child of that (if no other suitable nourishment is available) simply because she has the ""right to her body?""I think no, by law."
53,notsarc,And yet all you do is present your own opinions without supporting facts. 
54,notsarc,"I'm sure the racist white segregationists after Plessey thought exactly as you do now, ""That settles the matter.""Little Louise Brown had a big SURPRISE!!! for them.You still have not walked upon the thin ice of the ""well regulated"" wording, we note."
55,notsarc,"oh don't kid yourself, you people were miserable long before I got here. Darwinists' arrogance is astounding."
56,notsarc,"Exactly. Most people would incorporate it, from childhood most often. Steeeeve can't seem to wrap his mind around that."
57,notsarc,"Actually, everything the bible say's belies your ""atheist answer"". The reality is that the world itself and all of Gods Creation speaks to His existence as being self evident. It takes a degree of faith to accept Jesus as our personal Savior, but as far as accepting the reality of God Himself, all one need do is look observe the world we live in to see that only an incredible and loving God could create such a Beautiful and marvelous World with so many amazing symbiotic and perfectly interdependent forms of life."
58,notsarc,"Actually ""I don't know"" is quite a valid answer in science.However, again you slip into this false construct of a belief that all that can be known is in the scope of science; which you've also denied saying you believe in the past.[quote=Montalban]Is this a rational statement? If so, prove it rationally, by science. "
59,notsarc,"Well, let's be honest here. People fear gay marriage, not that it might come about via judicial fiat. That's just the current whipping horse because that's how it happened first, for some broad values of judicial fiat of course. There was a recent post here about rights granted gays by their state legislature, Oregon I think, and a group jumped in and forced the law on hold via a petition drive. So it really isn't the means by which gays get equality that upsets some folks, it's the equality itself. ""judicial fiat"" is just a phrase people can use so they can avoid stating their true motives, preventing gays from being treated as equals."
60,notsarc,"Yes, it does. But determining that age is not a question answered by evolution."
61,notsarc,"?? What are you trying to say?Science is knowledge, all knowledge, that is, anything we find to be true. There is no other ""truth"" out there, if there were, we'd be omniscient."
62,notsarc,"Now, now ZSU, we learned from comrade star gazer that GW created the Continental Army. I am sure these gentlemen have some equally illogical and inaccurate 'facts' to scatter around the barnyard emoticonXHoho"
63,notsarc,"YES! the founding fathers realized government was to serve the people it governed. With out a set of rules that limited the government it would run wild (as england did). They made the bill of rights and constitution so that it would limit the government (to keep it from becoming too powerful, and overstepping it's bounds). And the only way the constitution could actually be enforced was for the population to uphold it.Back in the time of it's writing they probably saw the best way for a population to force a government to not over step it's bounds was to force it... er... by force.Today in the information age, a much better weapon is our right to vote. Sweeping changes can be implemented with out the use of force using the system. "
64,notsarc,"There are several scientific explanations for the nature of the earth. Some use 'science' to say that the world is flat. Granted that these beliefs aren't widely accepted, but then not all religions are widely accepted. By your reasoning or 'logic' you must ask yourself about whether you should rely on science when there are many different scientific theories.The Flat Earth News, at least back then, had a regular column, ""One Hundred Proofs Earth is Not a Globe.""(go to http://www.flat-earth.org/)Other theories taught as sciencephrenologyalchemyevolutioneugenicsneptunismTheories of the Aether Articles relating to the Emergence of Scientific Theories of the Cosmic Aether(http://www.mountainman.com.au/aether.html)What about 'metascience'?http://www.calresco.org/lucas/science.htmOr, sciences used to support political ends...What about Marxist Sciencehttp://www.marxists.org/archive/hald...philosophy.htmor Chaos Theory and Marxismhttp://www.marxist.com/science/chaostheory.htmlThere's Nazi Sciencehttp://www.webster.edu/~woolflm/naziscience.htmlNationalist Sciencehttp://www.ljudmila.org/nettime/zkp4/08.htmOr social ends...Scientific Racismhttp://www.press.uillinois.edu/f02/tucker.htmlMainstream scientists instead of using the word 'heretic' use the word 'pseudo-science' to categorise fringe beliefs."
65,notsarc,"None of the 'fishersci' links would take, but I did get a look at the fibre optic systems. Will try again later."
66,notsarc,"Actually, I reported the real results of a study. Regular church attendees are twice as likely to vote Republican...etc., the conclusion was, however, meant to be a joke. Most got it, you didn't. emoticonXRolleyes"
67,notsarc,"You mean that it must have has a beginning, don't you?"
68,notsarc,"I'm sorry, but your entire rant is nothing but ignorance based fear mongering. From YOUR ARTICLE:"
69,notsarc,"Actually I'm so sure of my manhood that even though I knew that charge would be levelled against me I still posted anyway. Anyway if you feel that men need to be degraded to make up for past actions to women you have gone from ""righteous"" to bitter."
70,notsarc,No. We know that evolution happens. What would be a problem would be to find the processes that made evolution happen as such incredible rates. There isn't any evidence that it can happen that fast.
71,notsarc,"No, not really. All that is different is the number of steps.
 
 What is YOUR definition of 'macro-evoution'? Is it speciation? Or is it a brand new genus?
 
 We have observed speciation, where new species happened."
72,notsarc,"Logical truths do not come from ""somewhere"", your question makes as much sense as ""What time is a moose?"".You do not appear to have read my post at all, variously repeating what I have said and addressing things I did not say."
73,notsarc,"Not really when you consider the gun laws of the UK, and how they were changed to prevent incidents like Cumbria from ever happening."
74,notsarc,"So, you're saying that you believe in absolutely everything your church believes and you support everything it does and the moment it did anything oustide of these you'd leave right?"
75,notsarc,"Perhaps an analogy. Lets say for the sake of the argument you do not smoke or drink (personally against it, for whatever reason). However, you believe others should have the right to drink and smoke if they so choose. So, you are personally against drinking and smoking but you are ""pro-choice"" in that regard (meaning you believe every person should make that determination for themselves).Pro-life would be: You don't drink and smoke (morally against it perhaps) and you are going to make sure that no one else is able to either."
76,notsarc,"Quite frankly, you don't know squat about me. So stop trying to pretend you do.I have gone on record to say I think Christianity does a lot of good in the world.I have even tried to correct Matthew in his anti-Christian tirades. (Until I gave up realizing it would do no good... emoticonXFrazzled )I hate to break it to you, but the WORLD typically functions with people putting out negative news.You hear about how Joe XXXX broke the law.Do you ever hear about how Johnny Atlas keeps the law?emoticonXFrazzled"
77,notsarc,Do you think humans have the pinnacle of processing power and reason in our brain for the entire universe? (aside from god)
78,notsarc,"That's not true -- actually, it doesn't make sense. Science is just a bunch of rules (by definition). ""Biology uses science to study life"" is true. ""Physics uses science to study the physical world"" is true, but ""science's purpose is to study life"" is not true. "
79,notsarc,"No, genesis is not a history lesson. It is a combination of 'just so' stories, and a religious message in allegory format. If you bothered to learn understand some of the hebrew puns behind many of the words, and also see the political commentary of events that were happening during the time it was written, that would be obvious."
80,notsarc,"actually, it can be proven whether leprechauns, unicorns, the flying spaghetti monster, magical space monkeys and livining care baers, and even god, exists or not.the question of proving a belief seems kinda self-contradictory to me. if something is a fact that can be proven, then your belief about it is irrelevant. likewise, if you believe something, whether there are facts to support it or not, its still your belief. there are people who believe things inn the absence of supporting facts, and sometimes even in the face of opposing facts. the term for that is faithfaith is the belief of something in the absence of evidence. if you have faith in something, proof is irrelevant, or at least it should be"
81,notsarc,"I'm not sure what you are saying. Are you saying that you think that theropod dinosaurs should have more feathers than this Sinornithosaurus does? First you claim that the entire forelimb would have been useless, and when shown that it was not you claim that the feathers could not have existed because they would be useless, and now when shown a fossil that shows feathers, you are surprised that there are not more.I suspect that not all of the feathers on this creature are apparent in the fossil.http://research.amnh.org/vertpaleo/feather5.jpg http://research.amnh.org/vertpaleo/feather9a.jpg http://research.amnh.org/vertpaleo/feather11.jpg But there are enough to show that feathered dinosaurs did, in fact exist. Any argument about whether or not is is possible that such creatures existed is moot. It is irrelevant that you feel that such limbs would have been useless. Obviously they were not.So now we return to your original confused and erroneous arguments."
82,notsarc,"That is the declaration of independence not the constitution.I can go you one better admendment 9 and 10 talk about certain rights retained by the people.Amendment IXThe enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people. Amendment XThe powers not delegated to the United States by the Constitution, nor prohibited by it to the states, are reserved to the states respectively, or to the people.The conservatives would argue that by offering same sex marriage that their persute of happiness is denied by gay people even existing and that they have to look at us."
83,notsarc,"Right. That certainly explains the many, many versions of Christianity."
84,notsarc,"The claim that only through a belief in the Biblical God - or any God - can right and wrong be known is completely stupid. 1) Ever hear of humanism? 2) EVEN CHIMPS HAVE A SENSE OF BEING TREATED RIGHTLY OR WRONGLY! AND EVEN CHIMPS HAVE BEEN SEEN TO DO FOR OTHERS WHAT THEY WOULD WANT DONE FOR THEM!EDIT: Excuse, I double checked and I was wrong ... but that's BAD news for the Creationist!EVEN CAPUCHIN MONKEYS - WHICH ARE NOT AS RELATED TO HUMANS AS ARE CHIMPS - HAVE A SENSE OF WHETHER THEY ARE BEING TREATED FAIRLY OR NOT!!!http://www.sciencedaily.com/releases...0918092951.htmChimps take this one step farther by adding into the mix how closely their social bonds are to the other participant. So chimps have a more complex sense of fairness than do capuchin monkeys.http://www.whsc.emory.edu/press_rele...nt_id_seq=2819"
85,notsarc,"Leaving aside for a moment the false construct you're arguing against you should read up...The Pseudo-Problem of Creation in Physical Cosmology by Adolf Grnbaumhttp://www.infidels.org/library/mode...m/problem.html"" As Bondi sees it, the steady-state theory propounded by himself and Thomas Gold in 1948 brings ""the problem of creation . . . within the scope of physical inquiry"" (Ibid.)Although some theories are deemed defunct, such as the one above, your assumptions about such things being outside the scope of science is flawed."
86,notsarc,"Not really. That's the fallacy of exclusion of the middle. Because there are only two choices, if one is wrong somehow, the other is therefore correct. The problem is that there isn't only two choice for sure. Besides, science is wrong all the time, it doesn't prove that creation is right. In fact, for instance, science estaimtes of moon dust have been proven wildly wrong, and those corrections actually harm creation. "
87,notsarc,But that doesn't help much with calculating the length of a day from actual astronomical observations. Perhaps if we told Freeofthought that the current rate of slowing of the earth is 0.005 sec/year/year. I have no doubt that Freeofthought will misunderstand that number - it is a rate. Just assume that rate has been unchanging even though it hasn't been.A lot of the creationists misunderstanding comes from remarks like the following.
88,notsarc,Not the way I see it from my experiences. I let the readers decide on their own. 
89,notsarc,"The interesting thing about the 'quality of life ethic' is that, in a pro-choice framework, it means that we can't degrade anyone's quality of life without their permission. So far from entailing a cull of the elderly, the infirm, the handicapped, and the ugly, the quality of life ethic entails that we cannot kill them off. Each person is entitled to the quality of life that they desire where what they desire does not infringe on other's quality of life. "
90,notsarc,"You know, that is one aspect of the story that no one ever seems to focus on when refuting the flood. I think it is an excellent extra point of refutation of the whole ridiculous story."
91,notsarc,So?I look into the clouds and see a cow. Clouds aren't telling me to have a steak.
92,notsarc,"Right on! A real man supports those he loves, through thick and thin. He doesn't try and control the things he can't either.In the end, it's not a man's decision. It is not his body, therefore, he has no right to make the ultimate decision. He can only express his view. That's about it. (I'm pretty sure it's not any easier for her to decide). So cudos to those men."
93,notsarc,"Only approximate and really depends upon what day you start counting, before or after menses."
94,notsarc,Actually Archie it was neither left nor right. he went after both democrat and republican and took a center tone to the entire issue at hand. Portraying the reality of the suffering of his hometown due to jobs leaving the US and the greed on wall street.
95,notsarc,In your first post. If you are to qualify that by stating I assert that reproduction is not an absolute requirement of life over the ontogeny of an individual then of course reproduction is not essential character of life.
96,notsarc,Let me explain this to you.You want to stop abortions for someone else. You want to take a womans right to choose away. Where as Jito supporting a womans right to choose does not impose upon your life in any way.You want to stop me from being able to marry this does not effect your life in any way yet has a devastationg effect on my life. The left supports rights while your side want to limit the rights of others.You want to stop me from being able to marry because you have a religious belief against it even though I may have a religious belief that supports it. Therefore you are imposing your religious and moral views on me when I do not share those beliefs.
97,notsarc,"I think that we've got to draw a line at some point, to demarcate between adult and child. Where ever we do draw it, it will seem, in some situations to be arbitrary. If we made it 20, the question would be why 20 year olds and not 19. Through the years society has determined that by 18 people should have attained enough life experience to form intent and to comprehend that their actions have consequences (at least as it applies to the death penalty, they can be tried as adults w/o death). We don't execute people who can't comprehend the nature of their crimes and society says that, under 18 you can't fully comprehend criminal actions."
98,notsarc,"So have I, since I know that evolution has and does take place. But I catch it from both sides because I don't believe the scientific explanation of the origins of life or the beginning of intelligent awareness."
99,notsarc,"So police who are not military and are civilians, unless you are paid by the DOD and come under the geneva Convention you are a civilian period. If you had of paid attention, you should know that it is not the ""standing army"" that is fighting the current wars, it is oath taking militia/civilians from the State National Guards and reserve forces who have taken the same oath many of us have, to protect the Constitution from all enemies both domestic and foreign. That is not to say that only those people are the militia either!Can you name one successful government that has ever won a guerrilla war? Russia fought in Afghanistan for how long before it limped back home?"
100,notsarc,Crime has dropped significantly in New York and Los Angeles in recent years. 
101,notsarc,Since they are issued by the military I would think so. 
102,notsarc,So I am not intitled to my opinions? Your statement is so ironic because it seems that others also suffer from pot and kettleism and don't realize it.
103,notsarc,"Just as you were stating that it was not as an example, so was I stating that it was to me as an example. So, your reasoning that we can know if it is or is not a person is because people disagree on whether or not it is? That theory could use a bit more explanation."
104,notsarc,Oh never mind that such a condition would be toxic...not to mention that no ice cores support such magical ideas.
105,notsarc,"You do not have a right to drive. No one does. Driving is not a right. The state does not owe it to you to give you a license to drive. The activity of driving is a priveldge granted by the state, not a right.Rights are not regulated by government. You have them and no earthly authority can take it away from you. The state never gave me my rights, I already had them, nor do I have to ask for permission to exercise them."
106,notsarc,And there are plenty of people who smoke who don't develop lung cancer. You're cherry picking.
107,notsarc,"this statement isn't logical.It does not follow that if the person who creates the laws has to therefore follow them or can't change them...or even that they apply to him. If a teacher says ""no talking in the classroom"" it doesn't apply to the teacher now does it."
108,notsarc,"There's no adding of firearms going on, because they're already there! The criminals have them, that's a hard fact of life that can't ever be changed. Deal with it. What we want is for the intended victims to be on equal footing with the bad guys. There's nothing unreasonable about that."
109,notsarc,"Many of the gun hating crowd also own guns. It's the elitism belief, that they're superior to all humans and thus deserve to be armed, while everyone else in the world should be unarmed and bow before them as if they're gods."
110,notsarc,I'm glad you made the same correlation I did. ToE is a substitute for #### in this case.
111,notsarc,"You have ignored a third option, my denier of all that is right and good. That third option is the one you atheists and secular humanists refuse to consider, and that is that God spoke the stars into creation at the same time as Genesis says He spoke everything into existence in 6 days time as Genesis declares. What is dishonest and deceptive about your position is to then extrapolate from that info that it is God who is being deceptive. It is like saying that because you reject the gospel of Jesus as I accurately and honestly share it with you, that it is me lying about that gospel because you have rejected it. It is the most irrational and dishonest reasoning possible, yet it defines the way your minds work. emoticonXDonno"
112,notsarc,"So essentially the good thing about religion is that it poses a question that may or may not be completely meaningless and then invents a happy-making answer to satisfy the curiosity thus engendered? Wow, that's so much more profound than eradicating smallpox."
113,notsarc,"And I think that if I fall off a tall cliff, I'll die. Does that mean that gravity and science are either evil or incorrect?"
114,notsarc,"So country by country, the world is going to hell in a hand basket. And this pleases you, why? emoticonXFrazzled"
115,notsarc,"In what universe is there a right to murder?Unfortunately, we in the United States have only recently recognized that abusing children and owning slaves is not a right.And, only recently have women enjoyed the right to vote in the United States.What certain activities are forbidden in public?Some of the conservative red states have only recently decreed that there should be speek limits. Not for safety reasons, of course.And, George Walker Bush has guaranteed the right of corporations to dump dangerous chemicals into lakes and rivers and the oceans."
116,notsarc,"And statistically a school massacre by someone with a concealed carry permit is just short of being nonexistent, but that fact still doesn't mean a thing to you."
117,notsarc,"And justifiably. If you don't see the problem, then you are the problem. The proposed revisions is typical YEC banter about ""evolution is a theory"" - without making it clear what a theory is. ""Teach all sides of the question."" That's code for teaching ""creation theory"" or ID. Does that mean that in geography class the teachers should present a flat earth as a reasonable alternative? How about the earth as the center of the universe? No? I am all for teaching well supported theories that are not in agreement with the mainstream, but ID or creationism aren't them."
118,notsarc,"From a book review of BETTER FOR ALL THE WORLD: The Secret History of Forced Sterilization and America's Quest for Racial Purity by Harry Bruinius:http://www.nytimes.com/2006/02/26/bo...w/26satel.htmlHmmm, Teddy Roosevelt, Winston Churchill, the Rockefeller foundations, millions of Americans, the State of Indiana. . . all these embraced the concept of EUGENICS.Interesting, yes?"
119,notsarc,If you truly believe this then I think you need to re-read your posts and put yourself in the shoes of those on the receiving end. 
120,notsarc,"Depends on which cell you mean. Mammalian red blood cells, for example, have had their entire nuclei and mitochondria removed. Not so much as a smidgeon of DNA."
121,notsarc,"No it's not. Wouldn't it be nice if you knew enough to differentiate between theory, evidence and definition.[/quote]Ha! Now, however, genes are ""losing their glitter.""[/quote]I wasn't aware that they glittered. What are you talking about?"
122,notsarc,"So, you got your tubes tied because ""With womens right's getting shredded in the debate over abortion, fewer and fewer women are going to want to even risk have sex with men at all. It'll cause a wave of abstinence and imprisonment that will cut succesive generations in half. That'll even further errode the solvancy of social security."" Why would one get their tubes tied if they were swearing off men? emoticonXConfused And do you really believe the rest of the load about imprisonment and SS solvancy erosion, too? emoticonXRolleyes"
123,notsarc,"So if an atheist believes that humans are the highest form of intelligence, and a devout Christian believes God is the highest form of intelligence, the Christian should allow the atheist to force him to behave as if humans are the highest form of intelligence?"
124,notsarc,"Well for what it's worth, the police prefer to use AR-15 Carbines, MP-5 9mms, and either Mossberg or Remington 12ga when they are serving a no-knock warrant on your house (or the wrong house next door) in the middle of then night. And the AK may be a bit much for home use, as the 7.62 would way over-penetrate the walls and hit the neighbors houses (or the neighbors.) Hope that helped."
125,notsarc,"I think I posted that awhile ago. Its huge BS. Thats like saying ""Civil rights hurt blacks"". Even though abortion may have some unwated side affects, its no where near the emotional and physical pain and suffering for the rest of your life than a forced pregnancy. Just goes to show that the pro-life movement is desperate."
126,notsarc,"but they do support the choice to abort a fetus or embryo. An argument made for slavery was that ""you don't have to own them but don't tell us what to do""..a fairly similar argument but doesn't show whether or not abortion is wrong just that some lines of thinking should be questioned."
127,notsarc,"You know something is wrong with this world when people start calling embryos and non-sentient life forms victims and referring to martin Luther King Jr. to justify their views. It seems today that anyone that shows any decency or slight intelligence or common sense is labeled a radical leftist. Man, the republicans are getting desperate when you see them trying to equate embryos to men using MLK."
128,notsarc,But doesn't Genesis imply that creation occured in one 7-day period (though the days could be symbollic)?
129,notsarc,"I think a free society works better by saying ""You have to have at least a certain variety to give your customers a choice in products"". Businesses should have the restrictions, not private citizens."
130,notsarc,"Well I think that god must be a bit confused since he also says....Now therefore kill every male among the little ones, and kill every woman that hath known man by lying with him. But all the women children, that have not known a man by lying with him, keep alive for yourselves.  Numbers 31:17-18He doesn't seem to mind at least some retroactive abortions...."
131,notsarc,"A master baiter like you should present your thesis to be taken seriously, you haven't and you aren't. "
132,notsarc,"So what is your point? Are you claiming that the tenets of christianity are in doubt because the several thousand denominations hold contradictory views? Science proceeds by challenges and contradictions. Contradiction in science is not evidence of doubt but evidence of a field of advance. In religion, it is without question, a matter of the veracity of the ultimate truth. Which of the thousands of christian faiths hold the truth?"
133,notsarc,"First off, define ""government funded"". The FBI? The CIA? Other federal law enforcement agencies? The military? All vital government entities that are and should be armed. The fact that governments around the world have killed their own citizens after disarming them does not mean that they should not be armed, it means that the citizens should not be disarmed. Think of what our country would have become over the last 100 years without an armed government."
134,notsarc,"There is a point, however, that the fetal lung is not mature enough to survive outside the womb even with mechanical assistance. So, unless our technology will be pretty radically different in the future, it isn't about getting it out, it's about it not surviving when it is out."
135,notsarc,"No, neither am I suggesting that illegality makes something immoral. Legality and morality are completely separate things."
136,notsarc,"Actually, you have slipped into talking Bible here and seem to be refering to the miracle of Lazarus."
137,notsarc,I believe I would know when my own post is sarcasm or not...
138,notsarc,I'll take these questions (one at a time) in the other thread.
139,notsarc,"It's ashame that everyone keeps looking for the judiciary to do the legislature's work. When will the people press Congress to take up abortion? It is the job of Congress after all, to address the issues desired by it's constituents."
140,notsarc,"You still haven't learned what Google is have you Yankee Fan?HowStuffWorks ""Artificial Life""Artificial Life Likely in 3 to 10 Years - Science - redOrbitAnd relying entirely on insults is not a good way of gaining credibility. It didn't work on Livewire, it won't work here. "
141,notsarc,"In the Declaration of Independence, Thomas Jefferson identifies the right to life as a fundamental freedom. If more gun-control saves lives then more gun-control means more freedom. Aren't you pro-gunners interested in freedom?"
142,notsarc,"Well, if Genesis was in fact true, then we would have to assume that God is real and the Bible more or less explains what he wants, right? And if there is someone ""up there"" who will damn you to eternal torment if you don't do what he wants (which is one interpretation of the Bible) than that might effect the way you act. I realize that that isn't exactly the same as changing your moral compass, but history has demonstrated that most people's moral will stretch to accomodate pressing needs, and I think an actual vengeful diety would qualify."
143,notsarc,"Doesn't that explain why manslaughter is like miscarriage, rather than why it is different?And Clerisian, you didn't seem to be arguing that the two were distinct, rather you appeared to say that pro-lifers did support charging mothers who miscarried with manslaughter (where the mother's actions, say, drinking heavily, were the cause of death)."
144,notsarc,He only understands natural selection when he belives that it goes against what is accepted by scientists.
145,notsarc,"I agreew with you in principle. However, I see too many flaws in our justice system to make it useful at this point."
146,notsarc,"No it isn't. There was an incident here in the states last year that had an elderly woman beaten and raped, and several days later her rapist came back to do it again and she killed him on the spot. She wasn't brought to court to face trial even know she killed someone.THAT is how something like this should be handled."
147,notsarc,"As an aside I do admire your way with words, bravo!"
148,notsarc,"And here you reveal your prediliction for reading what you want to see into the words of others. I described materialism embracing new forces and phenomena which have withstood the rigors of the scientific method. I explicitly described science as a methodology, not a philosophy. You are wrong about me, WW, and the longer you pretend otherwise, the more time you're going to waste on strawmen and the more chances I'm going to get to make your arguments look silly. It's up to you. Argue with me, or argue with the person you want me to be."
149,notsarc,"Actually it should be easily to relate to VOR on this: he only argues with emotion. No facts, no evidence, no proof, just emotion."
150,notsarc,"Well then quit trolling, and start debunking the BS by providing links to cases that were solved by having a gun registry in place."
151,notsarc,"And the other website says they are working on ""over unity"" machines. :)You know, perpetual motion. :)http://www.earthtech.org/about/index.html"
152,notsarc,"Actually the benefits of stable, safe and loving homes for chilren are important to society. To deny gays and lesbians are indeed able to provide this is a flat out lie. I have directed you to the AAP report on gay parenting. I would suggest you actually read it. "
